,title,final,vote_average
10007,Romántico,Documentary EnginAltanDüzyatan ÖzgeÖzpirinçci HandeSubaşı None,7.25
10008,Bleed for This,Drama ChristopherLee JeannineMestre MiguelBilbatúa PerePortabella,6.8
10009,Snowed Under,Comedy DenzelWashington ViolaDavis StephenHenderson DenzelWashington,7.5
10010,Perry Mason Returns,Crime Drama Thriller Mystery RhysIfans JunoTemple JackKilmer TimGodsall,7.9
10011,Hacker,Crime Drama Thriller DavidChiang TiLung KuFeng ChangCheh,6.706
10012,The Maker,Drama Animation  EdwinS.Porter,7.584
10013,Rear Window,Drama Thriller TV Movie DantonMello LúcioMauroFilho BrunoMazzeo MaurícioFarias,8.359
10014,Perry Mason: The Case of the Notorious Nun, RaymondBurr BarbaraHale WilliamKatt RonSatlof,6.8
10015,20th Century Women,Drama SergeiMakovetsky DimitriVysotsky DmitriyNagiev KonstantinFeoktistov,7.349
10016,Perry Mason: The Case of the Shooting Star,Crime Drama  ChristopherKezelos,6.9
10017,Perry Mason: The Case of the Lost Love,Crime Drama Mystery RaymondBurr BarbaraHale WilliamKatt RonSatlof,7.5
10018,Inner Workings,Animation Comedy HikariMitsushima TeruyukiKagawa TakeruShibuya TakashiShimizu,7.9
10019,Marathon: The Patriots Day Bombing,Documentary RaymondBurr BarbaraHale WilliamKatt RonSatlof,6.7
10020,Pentatonix: On My Way Home,Music Documentary SrideviKapoor ShahRukhKhan MohnishBehl RaamShetty,7.0
10021,Evacuate Earth,Documentary AliceWhite MarionByron SallyEilers MervynLeRoy,7.3
10022,The End,Documentary KennedyTucker TommyRuff TaylorJorgensen JohnWilliamRoss,8.895
10023,Kevorkian,Documentary ArturodeCórdova CarmenMolina MiguelÁngelFerriz JuanBustilloOro,6.7
10024,Memphis: The Broadway Musical,Music DaniellePanabaker JaneKrakowski ClareStone PeterWerner,8.3
10025,Sondheim! The Birthday Concert, SigourneyWeaver CarlaGugino JamesWolk DavidPetrarca,8.0
10026,Lisa Lampanelli: Dirty Girl,Comedy JackKevorkian MatthewGalkin,6.7
10027,Kathy Griffin: She'll Cut a Bitch,Comedy  None,7.2
10028,This Land Is Mine,Animation ChadKimball MontegoGlover J.BernardCalloway DonRoyKing,7.208
10029,This Beautiful Fantastic,Comedy Drama Fantasy Romance RicardoGómez KarraElejalde LuisTosar SalvadorCalvo,7.111
10030,The Founder,Drama History  NinaPaley,7.103
10031,Perry Mason: The Case of the Sinister Spirit,Drama Thriller  UlrichSeidl,7.6
10032,Under the Sea 3D,Documentary BigJayOakerson JeffTomsic,7.0
10033,Hairspray Live!,Comedy Music MichaelIanBlack BurnieBurns ViolettBeane ClayLiford,7.305
10034,Thank You for Playing,Documentary ReggieWatts RoryScovel KateBerlant BenjaminDickinson,7.8
10035,Street of Crocodiles,Animation WesleyElder ChristinaGrimmie OsricChau CalebVetter,6.661
10036,A Fuller Life,Documentary PedroMariSánchez QuetaClaver AsierHernández EloydelaIglesia,6.6
10037,Helium, JoséLuisManzano JoséManuelCervino LuisIriondo EloydelaIglesia,7.2
10038,Dancer,Documentary JavierEscrivá InmadeSantis JohnMoulder-Brown EloydelaIglesia,7.5
10039,I Am Bolt,Documentary CarmenSevilla VicenteParra MaríaAsquerino EloydelaIglesia,7.21
10040,Sing,Animation Comedy Drama Family Music SueLyon ChristopherMitchum JeanSorel EloydelaIglesia,7.111
10041,Hannibal Buress: Animal Furnace,Comedy SergeiPolunin StevenCantor,7.125
10042,Matt Braunger: Big Dumb Animal,Comedy AliaBhatt ShahRukhKhan AliZafar GauriShinde,6.9
10043,I Am Not Your Negro,Documentary ImeldaStaunton MatthewGoode RussellTovey ShereeFolkson,7.762
10044,Perry Mason: The Case of the Murdered Madam,Mystery JasperRedd JayChapman,6.6
10045,Nobody Walks in L.A.,Romance Comedy Drama WyattCenac EugeneMirman GbengaAkinnagbe WyattCenac,7.8
10046,A Year and Change,Comedy Drama NathaliaRamos CodyLongo AlexSteele NicholasDiBella,6.536
10047,A Brilliant Madness, MartinBuch NicolajKopernikus KurtRavn JørgenLerdam,8.0
10048,The Golden Ball, VanHansis GaleHarold BriannaBrown CasperAndreas,7.4
10049,Alma,Animation Fantasy Mystery  None,6.996
10050,Alone in Berlin,Drama Jean-PaulBelmondo SophieMarceau MarieLaforêt GeorgesLautner,6.718
10051,Kyle Kinane: Whiskey Icarus,Comedy JasonMomoa CaryElwes MeloraWalters RichardGray,7.5
10052,Kyle Kinane: Loose in Chicago,Comedy VirginieEfira VincentLacoste MelvilPoupaud JustineTriet,6.8
10053,Kyle Kinane: I Liked His Old Stuff Better,Comedy ShaneCallahan CullenMoss DonHendersonBaker AndersonBoyd,7.4
10054,Crossing the Line,Documentary Foreign EmmaThompson DanielBrühl BrendanGleeson VincentPérez,7.1
10055,Perry Mason: The Case of the Scandalous Scoundrel,Drama Thriller KyleKinane LanceBangs,7.0
10056,Perry Mason: The Case of the Avenging Ace,Mystery GrahamSkipper ChaseWilliamson BreaGrant JacksonStewart,7.2
10057,A Grand Night In: The Story of Aardman,Animation Documentary TravisRice MarkLandvik MikkelBang CurtMorgan,7.2
10058,Perry Mason: The Case of the Lady in the Lake,Crime Mystery SteveCurry ShelleyPlimpton WoodrowChambliss JimMcBride,6.8
10059,The Ugly Duckling,Animation BülentÜstün CeydaTorun,6.946
10060,Five,Comedy Drama MartinFreeman DavidTennant JulieWalters RichardMears,7.023
10061,Iron Man,Drama JunShison KyokoYoshine Riria ChihiroIkeda,7.633
10062,The Caretaker,Thriller Horror LausHøybye Karen-LiseMynster DickKaysø SvenMethling,7.273
10063,Perry Mason: The Case of the Lethal Lesson,Mystery Drama DiegoBoneta JacksonRathbone MaríaPachónMesa KirkSullivan,7.1
10064,La Santa Muerte, PatriciaClarkson RosarioDawson LyndsyFonseca DemiMoore,6.7
10065,Campaign of Hate: Russia and Gay Propaganda,Documentary KristaAllen TimAbell NadineCrocker None,6.8
10066,Bella Vita,Documentary RaymondBurr BarbaraHale WilliamR.Moses ChristianI.NybyII,8.454
10067,Greater,Family Drama RoyHaylock RuPaul RachelDratch MattKugelman,6.979
10068,A Dog's Purpose,Comedy Drama Family Fantasy VangelisMourikis VickyPapadopoulou PetrosZervos YannisEconomides,7.609
10069,Long Live the Republic,War Drama  JasonBaffa,7.9
10070,Casus Belli, JordySmith JulianWilson TomCurren None,6.786
10071,The Schoolboy,Mystery Drama TobiasSchenke AnnaBrüggemann MichaelGwisdek CarstenFiebeler,7.0
10072,The Cube,Drama JanTříska ZdeněkSvěrák LibušeŠafránková JanSvěrák,7.1
10073,Hamlet at Elsinore,Drama VinayVirmani KunalNayyar IsabelleKaif Jean-FrançoisPouliot,8.0
10074,Perry Mason: The Case of the Musical Murder,Crime Drama Mystery MollyRingwald ChevyChase AnnabellaSciorra ColinTheys,6.9
10075,Perry Mason: The Case of the All-Star Assassin,Crime Drama Mystery KimEvans CharlieHeaton SarahLamesch PalomaLommel,7.2
10076,Manifesto,Drama RaymondBurr BarbaraHale DebbieReynolds ChristianI.NybyII,6.906
10077,Perry Mason: The Case of the Silenced Singer,Drama Mystery RuthKing KrisTearse BarryThomas RhysDavies,7.4
10078,Perry Mason: The Case of the Defiant Daughter,Mystery JukkaTolonen LasseKeso,6.8
10079,Maula Jat, RaymondBurr BarbaraHale WilliamR.Moses RonSatloff,8.1
10080,Perry Mason: The Case of the Poisoned Pen,Mystery  JosephineDecker,7.2
10081,George Carlin: Complaints & Grievances,Comedy Documentary TV Movie JustinGocke BettinaRae SamBottoms PaulAnnett,7.564
10082,Packed In A Trunk: The Lost Art of Edith Lake Wilkinson,Documentary  None,7.2
10083,Mower Minions,Comedy Animation GeorgeCarlin RoccoUrbisci,6.595
10084,"Good Luck Charlie, It's Christmas!",Comedy Family  WilliamK.L.Dickson,6.679
10085,Patriots Day,Crime Drama Thriller  GeorgeAlbertSmith,7.038
10086,Perry Mason: The Case of the Ruthless Reporter,Drama Thriller GeorgeNichols BlancheSweet D.W.Griffith,7.6
10087,Western Spaghetti, BridgitMendler MiaTalerico Leigh-AllynBaker ArleneSanford,7.1
10088,Hercules: Zero to Hero, MatthewMcConaughey BryceDallasHoward EdgarRamírez StephenGaghan,6.704
10089,Dexter's Laboratory: Ego Trip,Animation Comedy Family SciFi RaymondBurr BarbaraHale WilliamR.Moses ChristianI.NybyII,7.426
10090,Scary Godmother: Halloween Spooktakular,Animation Family Comedy  PES,7.515
10091,The Twelve Gold Medallions,Action Drama Foreign  AlainMargot,6.6
10092,Jon Richardson Live: Nidiot,Comedy EugeneDomingo KeanCipriano CaiCortez MarlonRivera,7.6
10093,Milk,Drama RhedBustamante NeilRyanSese RonnieAlonte ErikMatti,7.266
10094,Dog,Drama AngelLocsin ZanjoeMarudo SamMilby JasonPaulLaxamana,7.368
10095,Wasp,Drama OmriKatz TiffaniePoston ShawnHoffman BrettThompson,6.503
10096,Ballerina,Animation Family Adventure Comedy NickyTesco Marja-LeenaHelin MatoValtonen AkiKaurismäki,7.189
10097,Perry Mason: The Case of the Glass Coffin,Drama Thriller Crime IsabellaRagonese AlessioBoni PieraDegliEsposti GiorgiaCecere,7.4
10098,Don't Blink: Robert Frank,Documentary LucasTill JaneLevy AmyRyan ChrisWedge,7.036
10099,Perry Mason: The Case of the Fatal Fashion,Mystery ChadMoffitt ErrollShand SonamSherpa LeannePooley,7.5
10100,Perry Mason: The Case of the Reckless Romeo,Drama Mystery GillianChung DanielWu TaoHong PangHo-cheung,7.3
10101,Garfunkel and Oates: Trying to be Special,Comedy JuneLeaf LauraIsrael,7.172
10102,El taxi de los conflictos,Comedy MiriamMcDonald ShawnaWaldron RyanKennedy JasonHreno,8.5
10103,A Street Cat Named Bob,Drama Family Comedy JuanjoMenéndez CarmenSevilla Massiel MarianoOzores,7.877
10104,Blood on the Mountain,Documentary PeterPhelps ImogenAnnesley MouchePhillips DonaldCrombie,7.0
10105,The Lego Batman Movie,Action Animation Comedy Family Fantasy ZrinkaCvitešić MišelMatičević MilošTimotijević MichaelaKezele,7.212
10106,DC Showcase: Catwoman,Action Adventure Animation SciFi LamChing-Ying YuenBiao MoonLee RickyLau,6.965
10107,Batman Beyond Darwyn Cooke's Batman 75th Anniversary Short,Action Animation SciFi DavidCarradine RaymondCruz JaredDay Jean-ClaudeLaMarre,7.077
10108,Batman: Strange Days,Action Animation VinDiesel IceCube SamuelL.Jackson D.J.Caruso,7.1
10109,Superman 75,Documentary Animation DouglasSmith LucienLaviscount CressidaBonas StacyTitle,7.7
10110,Christmas Time In South Park, AliceLowe JoHartley KateDickie AliceLowe,8.056
10111,The Spirit of Christmas,Animation Comedy WillArnett ZachGalifianakis MichaelCera ChrisMcKay,7.047
10112,The Spirit of Christmas,Animation Comedy Thriller AndreasAbegglen SimonAnthamatten CyrilleBerthod LouiseOsmond,7.047
10113,Trailer Park Boys: Say Goodnight to the Bad Guys,Comedy JeremyChilds SheleanNewman ShannonHoppe BillySenese,7.333
10114,Superman/Shazam!: The Return of Black Adam,Animation Action  None,7.069
10115,"What's Opera, Doc?",Animation Comedy  None,7.576
10116,Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry,Comedy JohnPaulTremblay RobbWells MikeSmith MikeClattenburg,7.07
10117,The 24 Hour War,Documentary MarciaGayHarden AlexisDziena MikeErwin TomMcLoughlin,7.01
10118,Fear of the Flesh: The Making of The Fly,Documentary JohnPaulTremblay RobbWells MikeSmith None,7.5
10119,Wizard Mode,Documentary PaulaBeer PierreNiney ErnstStötzner FrançoisOzon,6.8
10120,Perry Mason: The Case of the Heartbroken Bride,Drama Thriller GabrielIglesias MannyRodriguez,8.8
10121,Freedom Road,Drama JoséGarcia CarolineVigneaux JosephineCallies NicolasBenamou,7.5
10122,How Videogames Changed the World,Documentary DonaldSumpter DebbieFarrington MarjorieYates IanMerrick,6.9
10123,Perry Mason: The Case of the Skin-Deep Scandal,Drama Mystery DorothyDavenport WillisRobards HalReid WillisRobards,7.8
10124,Bright Lights: Starring Carrie Fisher and Debbie Reynolds,Documentary MarioCasas JoséCoronado BárbaraLennie OriolPaulo,7.7
10125,Kill Zone,Action Thriller War DanaCarvey MarcusRaboy,6.957
10126,Eddie Griffin: You Can Tell 'Em I Said It,Comedy MichaelFassbender BrendanGleeson LyndseyMarshal AdamSmith,7.5
10127,Demetri Martin. Person.,Comedy TV Movie DavidCarradine RickHill LukeAskew CirioH.Santiago,6.7
10128,Past Life,Drama MattMullins JoeSabatino GlenMeadows CirioH.Santiago,9.0
10129,I'm Not Ashamed,Drama RandySklar JasonSklar RichEisen JayChapman,7.3
10130,A Cinderella Christmas,Romance Comedy  PatrickCreadon,6.8
10131,The Young Offenders,Comedy BillEngvall JeffFoxworthy LarrytheCableGuy RyanPolito,7.114
10132,Christmas Angel,Comedy Drama Romance FionaGubelmann LucasBryant IrisQuinn DavidWinning,7.03
10133,Marvel One-Shot: Agent Carter,Action Adventure SciFi Fantasy UlrikeKrumbiegel IngoNaujoks AnnaBöttcher CarstenFiebeler,7.254
10134,The Good Witch's Garden,TV Movie Comedy Family Fantasy Romance MartinaStoessel MariaClaraAlonso GeorginaAmorós JuanPabloBuscarini,7.5
10135,The Good Witch's Gift,Drama Family Fantasy HaylieDuff NicholasGonzalez MarkFamiglietti AlexWright,7.563
10136,Marvel One-Shot: A Funny Thing Happened on the Way to Thor's Hammer,SciFi Fantasy LibušeŠafránková GáborNagy KarolMachata MartinHollý,6.851
10137,A December Bride,Romance TV Movie K.C.Clyde KariHawker-Diaz BruceDavison BrianBrough,7.2
10138,A Nutcracker Christmas,Drama Family TV Movie Romance JuliannaGuill MarcBendavid VivicaA.Fox VicSarin,6.673
10139,Max and Mona, ErinCahill DavidAlpay DakotaGuppy MaritaGrabiak,6.8
10140,Perry Mason: The Case of the Telltale Talk Show Host,Drama ArielPetsonk ZamandHägg MichaelNyqvist UlfMalmros,7.1
10141,Perry Mason: The Case of the Killer Kiss,Drama Thriller AllanEdwall JarlKulle MargarethaKrook JarlKulle,7.6
10142,Perry Mason: The Case of the Wicked Wives,Drama Thriller DonMarshall PhyllisDavis EnaHartman StephanieRothman,7.6
10143,Sold,Drama RaymondBurr BarbaraHale WilliamR.Moses ChristianI.NybyII,6.7
10144,Legends of the Hidden Temple,Adventure Family GaranceMarillier EllaRumpf RabahNaitOufella JuliaDucournau,6.784
10145,You're Killing Me Susana, AndrzejChyra MateuszKościukiewicz MajaOstaszewska MałgorzataSzumowska,6.6
10146,The Black Sheep of Whitehall,Comedy NicholeBloom FabianneTherese PatHealy JohnCarchietta,7.7
10147,"Margarita, with a Straw",Drama RobertC.Bruce ChuckJones,6.9
10148,Jim Gaffigan: King Baby,Comedy JoeRogan MichaelBlieden,6.992
10149,Jim Gaffigan: Cinco,Comedy IsabelaMoner DeeBradleyBaker DanielCudmore JoeMenendez,7.051
10150,Isabella Rossellini's Green Porno Live, NoeHernandez MaríaCid DiegoGamaliel EmilianoRochaMinter,6.6
10151,Very Big Shot,Crime RomanLeonardoRodriguez EduardoDávalosdeLuna CésarRenatoSuárezMorales ChivaRodriguez,6.722
10152,John Wick: Chapter 2,Thriller Action Crime PauloGustavo RodrigoPandolfo HersonCapri CésarRodrigues,7.318
10153,Get Out,Mystery Thriller Horror LucasGregorowicz FrederickLau Jan-GregorKremp MaxZähle,7.619
10154,Logan,Action Drama SciFi VéroniqueFauconnet FernandFox ChristianKmiotek AndyBausch,7.8
10155,Kong: Skull Island,Action Adventure Fantasy ThierryvanWerveke EnderFrings NicoleMax AndyBausch,6.511
10156,T2 Trainspotting,Crime Drama BogusławLinda AleksandraJusta BronisławaZamachowska AndrzejWajda,6.95
10157,George Carlin: Playin' with Your Head,Documentary Comedy TV Movie SilvioOrlando GigioAlberti ClaudioBisio GabrieleSalvatores,7.196
10158,Murder by Natural Causes,Mystery Crime TV Movie Horror JuddNelson EricRoberts MarlaSokoloff MaryLambert,7.0
10159,Before I Fall,Mystery Drama Thriller RizAhmed BilliePiper JamesFloyd PeteTravis,6.975
10160,Unbreakable: The Western States 100, NatalieDormer StanleyTucci MattSmith StefanRuzowitzky,7.6
10161,Mia trelli... trelli oikogeneia,Comedy GeorgeCarlin RickDucommun AnthonyJames RoccoUrbisci,7.7
10162,Jet Boy,Drama GeorgSulzer AxelPrahl JohannesZeiler AnthonyPower,6.622
10163,The Big Sick,Comedy Drama Romance JennyKarezi AlekosAlexandrakis DionysisPapagiannopoulos DinosDimopoulos,7.343
10164,I Don't Feel at Home in This World Anymore,Comedy Crime Drama Thriller MimisFotopoulos VasilisAvlonitis JennyKarezi AlekosSakellarios,6.537
10165,George's Island,Family Adventure Drama AdrianȚofei SoniaTeodoriu FlorentinaHariton AdrianȚofei,8.0
10166,King Arthur: Legend of the Sword,Action Drama Fantasy ShareefaDaanish ArioBayu ArifinPutra TimoTjahjanto,6.536
10167,The Rolling Stones Olé Olé Olé! : A Trip Across Latin America,Music Documentary MaikoAsano MakotoAshikawa RyutaSato YoshihiroNakamura,7.2
10168,Beauty and the Beast,Family Fantasy Romance EvgeniyEvstigneev VadimSpiridonov AleksandrLazarev ЯрополкЛапшин,7.732
10169,Man Without a Star,Western  VasilisVafeas,6.571
10170,Coco,Comedy EmmaWatson DanStevens LukeEvans BillCondon,8.226
10171,The Boss Baby,Animation Comedy Family KirkDouglas JeanneCrain ClaireTrevor KingVidor,6.786
10172,Justice League Dark,Action Animation Fantasy SciFi Thriller JeremyClyde MauriceDenham CherylKennedy LeslieMegahey,7.304
10173,Beware the Slenderman,Crime Documentary LaurencePayne JillAdams GaryCockrell RobertHartford-Davis,6.56
10174,Twist of Faith,Drama HanHyo-joo YooYeon-seok ChunWoo-hee ParkHeung-sik,6.6
10175,"I Travel Because I Have to, I Come Back Because I Love You",Drama GadElmaleh PascaleArbillot ManuPayet GadElmaleh,7.0
10176,Thank You for Your Service,Documentary AliciaLeighWillis RickRavanello MelissaMarty SheldonLarry,6.534
10177,Call Me by Your Name,Romance Drama ThodorisAtheridis SmaragdaKarydi None,8.2
10178,The Greatest Man in Siam,Animation  RahulJain,7.0
10179,Two Lovers and a Bear,Drama Romance ZsoltAnger JuditRezes SándorTerhes GigorAttila,6.7
10180,Ghost in the Shell,Action SciFi Thriller  NikolausGeyrhalter,7.938
10181,As You Are,Mystery Drama MaryCharlotteWilcox LyleWaggoner ChristopherStone JacquesLacerte,7.012
10182,The Primary Instinct,Drama Documentary AlanStivelman AlanStivelman,6.9
10183,Bill Burr: Walk Your Way Out,Comedy CaseyAffleck RooneyMara WillOldham DavidLowery,6.81
10184,Stick Man,Animation Family SandrineBonnaire JacquesGamblin ValeriaBruniTedeschi ClaudeChabrol,6.789
10185,Ghostland: The View of the Ju'Hoansi,Documentary MartinFreeman HughBonneville JenniferSaunders JeroenJaspaert,8.0
10186,Mumford & Sons: We Wrote This Yesterday,Documentary GötzGeorge KaiTaschner ElisabethSchwarz TheodorKotulla,8.0
10187,Henri Cartier-Bresson: The Impassioned Eye,Documentary DakotaJohnson JamieDornan EricJohnson JamesFoley,7.1
10188,Pearl,Animation JeanReno ReemKherici CamilleChamoux PascalBourdiaux,7.407
10189,Blind Vaysha,Animation JackieChan AbbiJacobson JustinTheroux JonSaunders,7.089
10190,Pear Cider and Cigarettes,  None,7.0
10191,Detour,Thriller  KenFinkleman,7.265
10192,The Body Farm, AdrianoLuz ManuelaCouto SaraCarinhas TiagoGuedes,7.0
10193,The Great Gilly Hopkins,Comedy Drama Family RafaelMorais BeatrizBatarda GonçaloWaddington MarcoMartins,6.6
10194,Trumped: Inside the Greatest Political Upset of All Time,Documentary RobertRender VivianJamison CarolineBurnsCooke GeorgeClarke,6.7
10195,Chapter & Verse,Drama Crime DylanTaylor MelanieScrofano MeghanHeffern GeordieSabbagh,7.3
10196,Night Chase,TV Movie Mystery SakariKuosmanen SherwanHaji SimonAl-Bazoon AkiKaurismäki,7.0
10197,Kung Fu Wing Chun,Action Comedy Romance SarahFrangenberg ToddCahoon ShaneHarper MarkS.Cartier,7.1
10198,Neal Brennan: 3 Mics,Comedy TreatWilliams NancyTravis ReileyMcClendon JerryJameson,7.242
10199,The Doors - Live at the Bowl '68,Music DamianUl EwelinaWalendziak TomaszSapryk AndrzejJakimowski,7.1
10200,Mine,Thriller War Devo None,6.6
10201,Has the Film Already Started?, NicolasDuvauchelle DrissRamdi MélanieThierry EmmanuelFinkiel,7.3
10202,A Long Walk, MoysheOysher FlorenceWeiss JudithAbarbanel IlyaMotyleff,7.5
10203,Tashi and the Monk,Documentary GinaGershon SeanAstin SammiHanratty BenBrowder,7.9
10204,Innsaei, SophiaTakal TomFitzpatrick JenniferPrediger ToddRohal,7.0
10205,Floyd Norman: An Animated Life,Documentary  HrundGunnsteinsdottir,7.0
10206,Cafe Noir,Drama Romance Foreign CosmoAnzilotti JaneBaer DavidBossert MichaelFiore,7.3
10207,Lemonade,Music ChutavuthPattarakampol ThanapobLeeratanakajorn SupassraThanachat SophonSakdaphisit,8.556
10208,Peter and the Farm,Documentary ShinHa-kyun MoonJeong-hee KimHye-na JungSung-il,7.5
10209,The Origin of Stitch,Animation DustyRoseRyan LenaM. GingerLeighRyan JennyGage,6.583
10210,To the Bone,Drama AoiMiyazaki YosukeEguchi SatoshiTsumabuki JunjiSakamoto,7.228
10211,To Walk Invisible,Drama KyokoKoizumi AnneSuzuki ItsujiItao ToshiakiToyoda,7.229
10212,Higglety Pigglety Pop! or There Must Be More to Life,Family Fantasy RyuheiMatsuda ReinaAsami AkiraEmoto OsamuMinorikawa,6.7
10213,The Up in Smoke Tour,Documentary Music RiisaNaka AoiNakamura RyoIshibashi YuyaIshii,7.8
10214,Coda,Drama Animation MichaelFassbender RyanGosling RooneyMara TerrenceMalick,7.993
10215,Continental Circus, FinnAtkins ChloePirrie CharlieMurphy SallyWainwright,6.7
10216,Cam-Girl,Thriller Mystery YangSiming CaoKou MaXiaofeng LiuJian,6.9
10217,A Sinner in Mecca,Documentary PeytonKennedy RichardSchiff KipPardue AnneHamilton,7.0
10218,God's Own Country,Romance Drama HermilaGuedes JoãoMiguel MaeveJinkings MarceloGomes,7.76
10219,Hostages,Drama DanielaVega FranciscoReyes LuisGnecco SebastiánLelio,6.7
10220,Far from Vietnam,War JoãoPedroVaz AliceAlbergariaBorges BeatrizBatarda TeresaVillaverde,7.1
10221,Everything Will Be OK,Animation Drama  JameyDurham,7.728
10222,Jen Kirkman: Just Keep Livin',Comedy MirceaPostelnicu DianaCavallioti CarmenTănase CălinPeterNetzer,6.531
10223,Becoming Warren Buffett,Documentary CedrictheEntertainer TroyMiller,7.2
10224,Everybody Loves Somebody,Romance Comedy EricElmosnino HélénaNoguerra AryAbittan CharlesNemes,6.582
10225,Rory Scovel: The Charleston Special,Comedy AleksandrGorbatov IvanFominov AntonKuznetsov VladimirBesedin,7.1
10226,Tony Hinchcliffe: One Shot,Comedy LukasHaas EmilyHampshire AmandaSmith TimBrown,7.2
10227,Alonzo Bodden: Historically Incorrect,Comedy WarrenBuffett SusanBuffett BillGates PeterW.Kunhardt,7.4
10228,Steve-O: Guilty as Charged,Comedy AriaEmory DrewHarwood MoniqueRosario ChrisvonHoffmann,6.667
10229,Stephen Lynch: Hello Kalamazoo,Music Comedy HaleyLuRichardson NoahSegan OliviaGraceApplegate OwenEgerton,7.5
10230,Cameron Esposito: Marriage Material,Comedy KarlaSouza JoséMaríaYazpik BenO'Toole CatalinaAguilarMastretta,7.3
10231,Frankie Boyle: Hurt Like You've Never Been Loved,Comedy FrancescoCarril ItsasoArana AuraGarrido JonásTrueba,7.0
10232,Nikki Glaser: Perfect,Comedy JerryLewis KerryBishé KevinPollak DanielNoah,7.091
10233,Gary Gulman: It's About Time,Comedy TonyHinchcliffe BenWolfinsohn,6.6
10234,Michael Ian Black: Noted Expert,Comedy WhitneyCummings MartyCallner,6.8
10235,Brad Williams: Daddy Issues,Comedy AlonzoBodden JohnAsher,7.3
10236,Sebastian Maniscalco: Why Would You Do That?,Comedy ChrisHardwick MarcusRaboy,7.607
10237,Lewis Black: Black to the Future,Comedy GaryGulman GaryGulman,6.643
10238,Barry Crimmins: Whatever Threatens You,Comedy QuincyJones MickeyBlaine,9.0
10239,Pete Davidson: SMD,Comedy WillieBarcena SteveLongi,6.909
10240,Kathleen Madigan: Bothering Jesus,Comedy Godfrey StevenFeinartz,7.0
10241,Tony Roberts: Motorcity Motormouth,Comedy SebastianManiscalco JoeDeMaio,7.0
10242,Joey Coco Diaz: Sociably UnAcceptable,Comedy LewisBlack JustinKreutzmann,7.0
10243,Missing,Crime Drama Thriller PeteDavidson JoelGallen,7.559
10244,My Entire High School Sinking Into the Sea,Animation DanLevy SamuelBrownfield,6.6
10245,Savage Abduction,Horror Thriller TonyT.Roberts BigTigger ElijahDylanCosta,7.3
10246,Sister Cities,Drama TV Movie HedyLamarr GeorgeSanders LouisHayward EdgarG.Ulmer,6.9
10247,Priceless,Drama Romance NamiMisaki AyakoOta MikiYamaji KôyûOhara,7.1
10248,"Nick Cannon: Stand Up, Don't Shoot",Comedy RinakoHirasawa MinamiAiyama AkinoHirasawa YûjiTajiri,6.7
10249,Departure,Drama Romance Family AyaMatsuura RikaIshikawa ErikaMiyoshi KentaFukasaku,6.741
10250,Akron,Romance Drama YumikaHayashi MutsuoYoshioka LemonHanazawa ShinjiImaoka,7.5
10251,Oklahoma City,Documentary EricLehning CodyDeVos LeahHigh DeagolBrothers,7.0
10252,Once Upon a Line,Animation MatthewFrias EdmundDonovan AndreaBurns BrianO'Donnell,7.1
10253,Mel Brooks: Live at the Geffen,Comedy  None,6.8
10254,Keith Robinson: Back of the Bus Funny,Comedy TōruFuruya HirotakaSuzuoki KōichiHashimoto MasayukiAkehi,7.2
10255,Trevor Moore: High In Church,Comedy MaleneBeltoftOlsen PrinceYawAppiah VibekeHastrup AskeBang,6.9
10256,Jim Norton: Contextually Inadequate,Comedy StéphanePerrichon HassamGhancy NajibOudghiri SelimAzzazi,6.6
10257,Mick Foley: Cheap Pops,Comedy GaryOwen LeslieSmall,7.5
10258,Brad Williams: Fun Size,Comedy MelBrooks CarlReiner None,7.7
10259,Christopher Titus: Angry Pursuit of Happiness,Comedy BrianGaar CharlieFonville,8.0
10260,Natasha Leggero: Live at Bimbo's,Comedy JimNorton ShannonHartman,7.3
10261,Craig Ferguson: Just Being Honest,Comedy NateBargatze RyanPolito,6.6
10262,Margaret Cho: PsyCHO,Comedy ChristopherTitus None,6.625
10263,Brian Regan: Live From Radio City Music Hall,Comedy JimBreuer AdamDubin,6.9
10264,Jimmy Dore: Sentenced To Live,Comedy SusanCalman None,8.333
10265,John Bishop Supersonic Live,Comedy NatashaLeggero ThomasLennon TroyMiller,7.1
10266,Dara O'Briain Crowd Tickler,Comedy JeffDunham ChrisParnell ChuckLiddell MichaelSimon,7.0
10267,Kevin Bridges Live: A Whole Different Story,Comedy StephenRannazzisi JeffTomsic,7.9
10268,Marc Maron: More Later,Comedy MargaretCho JohnAsher,7.1
10269,"Myq Kaplan: Small, Dork and Handsome",Comedy MilesJupp None,6.9
10270,Kurt Metzger: White Precious,Comedy JohnBishop PaulWheeler,6.8
10271,Joe Rogan: Rocky Mountain High,Comedy DaraÓBriain PaulWheeler,7.333
10272,Sebastian Maniscalco: Aren't You Embarrassed?,Comedy MarcMaron BobcatGoldthwait,7.935
10273,John Pinette: I Say Nay Nay,Comedy JerrodCarmichael SpikeLee,6.6
10274,John Pinette: I'm Starvin'!,Comedy  None,7.2
10275,The Glass Castle,Drama JoeRogan RyanPolito,7.171
10276,The Thirteenth Tale,TV Movie Drama BennyEmmanuel AxelArenas AlfonsoBravo RobertoFiesco,6.6
10277,Tom of Finland,Drama PaavoPentikäinen EevaLitmanen MarttiTschokkinen TaaviKassila,6.746
